,yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
100005,2015,NYA,AL,carpeda01,22,0.0,2,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100012,2015,HOU,AL,cartech02,129,112.0,129,115.0,0,0,115,0,0,0,0,0,0,0,8.0,14.0,0.0
100016,2015,BOS,AL,castiru01,80,67.0,80,75.0,0,0,0,0,0,0,24,6,48,75,2.0,5.0,4.0
100022,2015,HOU,AL,castrja01,104,102.0,104,103.0,0,103,0,0,0,0,0,0,0,0,0.0,1.0,0.0
100027,2015,BOS,AL,cecchga01,2,0.0,2,1.0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0
100041,2015,HOU,AL,chapmke02,3,0.0,0,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100072,2015,HOU,AL,congeha01,73,56.0,73,70.0,0,69,0,0,0,0,1,0,0,1,0.0,10.0,1.0
100075,2015,BOS,AL,cookry01,5,0.0,2,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100083,2015,HOU,AL,correca01,99,99.0,99,99.0,0,0,0,0,0,99,0,0,0,0,0.0,0.0,0.0
100086,2015,NYA,AL,cothaca01,12,0.0,1,12.0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100089,2015,LAN,NL,couloda01,5,0.0,5,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100094,2015,BOS,AL,craigal01,36,15.0,36,22.0,0,0,6,0,0,0,7,0,9,16,9.0,13.0,3.0
100097,2015,LAN,NL,crawfca02,69,43.0,69,51.0,0,0,0,0,0,0,51,0,0,51,3.0,21.0,3.0
100113,2015,NYA,AL,davieky01,1,0.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100121,2015,BOS,AL,deazaal01,60,41.0,60,52.0,0,0,0,0,0,0,33,1,24,52,1.0,8.0,4.0
100125,2015,HOU,AL,dedunsa01,9,2.0,0,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100138,2015,NYA,AL,depaujo02,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100167,2015,NYA,AL,drewst01,131,105.0,131,130.0,0,0,0,123,4,15,0,0,0,0,0.0,7.0,0.0
100174,2015,HOU,AL,duffyma02,8,0.0,8,4.0,0,0,2,0,2,0,0,0,0,0,0.0,5.0,0.0
100191,2015,LAN,NL,ellisaj01,63,55.0,63,62.0,0,62,0,0,0,0,0,0,0,0,0.0,2.0,0.0
100192,2015,NYA,AL,ellsbja01,111,106.0,111,110.0,0,0,0,0,0,0,0,110,0,110,0.0,4.0,0.0
100195,2015,NYA,AL,eovalna01,27,27.0,3,27.0,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100202,2015,LAN,NL,ethiean01,142,106.0,142,127.0,0,0,0,0,0,0,51,1,80,127,1.0,27.0,0.0
100209,2015,HOU,AL,feldmsc01,18,18.0,1,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100210,2015,HOU,AL,felizmi01,5,0.0,1,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100216,2015,HOU,AL,fieldjo03,54,0.0,4,54.0,54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100220,2015,HOU,AL,fiersmi01,10,9.0,0,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100222,2015,NYA,AL,figueco01,2,2.0,2,2.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
100229,2015,NYA,AL,florera02,12,8.0,12,12.0,0,0,0,0,0,0,11,0,1,12,0.0,0.0,0.0
100248,2015,LAN,NL,friasca01,17,13.0,16,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100268,2015,LAN,NL,garciyi01,59,1.0,55,59.0,59,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100269,2015,NYA,AL,gardnbr01,151,140.0,151,150.0,0,0,0,0,0,0,119,40,0,150,0.0,5.0,2.0
100272,2015,HOU,AL,gattiev01,153,147.0,153,11.0,0,0,0,0,0,0,11,0,0,11,136.0,6.0,0.0
100299,2015,HOU,AL,gomezca01,41,38.0,41,39.0,0,0,0,0,0,0,0,39,0,39,1.0,1.0,1.0
100303,2015,LAN,NL,gonzaad01,156,148.0,156,149.0,0,0,149,0,0,0,0,0,0,0,3.0,7.0,0.0
100307,2015,HOU,AL,gonzama01,120,86.0,120,112.0,0,0,43,15,21,32,15,0,0,15,3.0,17.0,6.0
100311,2015,NYA,AL,goodyni01,7,0.0,1,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100324,2015,LAN,NL,grandya01,115,102.0,115,111.0,0,107,6,0,0,0,0,0,0,0,0.0,10.0,0.0
100331,2015,HOU,AL,gregelu01,64,0.0,3,64.0,64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100333,2015,NYA,AL,gregodi01,155,147.0,155,155.0,0,0,0,0,0,155,0,0,0,0,0.0,4.0,1.0
100334,2015,LAN,NL,greinza01,32,32.0,30,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100338,2015,HOU,AL,grossro01,24,14.0,24,19.0,0,0,0,0,0,0,17,0,4,19,2.0,5.0,4.0
100340,2015,LAN,NL,guerral01,106,49.0,106,51.0,0,0,0,0,22,0,29,0,0,29,4.0,54.0,0.0
100363,2015,BOS,AL,hanigry01,54,51.0,54,53.0,0,53,0,0,0,0,0,0,0,0,0.0,1.0,0.0
100375,2015,HOU,AL,harriwi02,68,0.0,4,68.0,68,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100378,2015,LAN,NL,hatchch02,49,0.0,45,49.0,49,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100383,2015,NYA,AL,headlch01,156,148.0,156,155.0,0,0,1,0,155,0,0,0,0,0,0.0,5.0,1.0
100385,2015,NYA,AL,heathsl01,17,6.0,17,17.0,0,0,0,0,0,0,0,8,9,17,0.0,1.0,3.0
100388,2015,LAN,NL,heisech01,33,17.0,33,28.0,0,0,0,0,0,0,12,10,12,28,0.0,5.0,3.0
100390,2015,BOS,AL,hembrhe01,22,0.0,2,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100395,2015,LAN,NL,hernaen02,76,51.0,76,67.0,0,0,0,20,1,16,17,19,2,34,0.0,11.0,5.0
100411,2015,BOS,AL,hillri01,4,4.0,0,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100413,2015,BOS,AL,hinojda01,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100416,2015,HOU,AL,hoeslj01,8,4.0,8,7.0,0,0,0,0,0,0,3,0,5,7,0.0,1.0,1.0
100422,2015,BOS,AL,holtbr01,129,116.0,129,125.0,0,0,8,58,33,11,14,2,21,35,1.0,6.0,2.0
100430,2015,LAN,NL,howeljp01,65,0.0,62,65.0,65,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100433,2015,LAN,NL,huffda01,3,1.0,3,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100461,2015,LAN,NL,janseke01,54,0.0,51,54.0,54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100473,2015,BOS,AL,jimenlu02,1,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
100476,2015,BOS,AL,johnsbr02,1,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100482,2015,LAN,NL,johnsji04,23,0.0,19,23.0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100489,2015,NYA,AL,jonesga02,57,31.0,57,45.0,1,0,21,0,0,0,4,0,24,27,4.0,13.0,2.0
100500,2015,HOU,AL,kazmisc01,13,13.0,1,13.0,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100506,2015,BOS,AL,kellyjo05,25,25.0,2,25.0,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100509,2015,LAN,NL,kendrho01,117,112.0,117,113.0,0,0,0,113,0,0,0,0,0,0,0.0,4.0,0.0
100514,2015,LAN,NL,kershcl01,34,33.0,31,33.0,33,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
100515,2015,HOU,AL,keuchda01,33,33.0,2,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100551,2015,LAN,NL,latosma01,6,5.0,6,6.0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100556,2015,BOS,AL,layneto01,64,0.0,8,64.0,64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100563,2015,LAN,NL,leeza01,1,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100568,2015,BOS,AL,leonsa01,41,33.0,41,38.0,0,37,0,0,1,0,0,0,0,0,3.0,4.0,0.0
100571,2015,LAN,NL,liberad01,39,0.0,38,39.0,39,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100574,2015,NYA,AL,lindgja01,7,0.0,0,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100595,2015,HOU,AL,lowrije01,69,62.0,69,63.0,0,0,0,0,47,17,0,0,0,0,2.0,6.0,0.0
100603,2015,BOS,AL,machije01,26,0.0,3,26.0,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100614,2015,HOU,AL,marisja01,133,101.0,133,126.0,0,0,0,0,0,0,16,99,13,126,1.0,5.0,13.0
100618,2015,BOS,AL,marrede01,25,12.0,25,20.0,0,0,0,3,13,6,0,0,0,0,5.0,1.0,6.0
100625,2015,NYA,AL,martich02,24,0.0,2,24.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100637,2015,BOS,AL,masteju01,18,9.0,1,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100655,2015,NYA,AL,mccanbr01,135,122.0,135,126.0,0,126,10,0,0,0,0,0,0,0,4.0,13.0,0.0
100657,2015,LAN,NL,mccarbr01,4,4.0,4,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100658,2015,HOU,AL,mcculla02,22,22.0,1,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100666,2015,HOU,AL,mchugco01,32,32.0,3,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100674,2015,BOS,AL,mendero01,3,0.0,1,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100680,2015,BOS,AL,mileywa01,32,32.0,1,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100681,2015,NYA,AL,millean01,60,0.0,4,60.0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100687,2015,NYA,AL,mitchbr01,20,2.0,3,20.0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100702,2015,NYA,AL,morendi01,4,0.0,0,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100720,2015,BOS,AL,mujiced01,11,0.0,1,11.0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100728,2015,NYA,AL,murphjr01,67,43.0,67,65.0,0,65,0,0,0,0,0,0,0,0,1.0,3.0,3.0
100732,2015,BOS,AL,napolmi01,98,92.0,98,96.0,0,0,96,0,0,0,0,0,0,0,2.0,1.0,1.0
100736,2015,BOS,AL,navada01,29,18.0,29,26.0,0,0,6,0,0,0,7,0,15,21,2.0,6.0,2.0
100745,2015,HOU,AL,neshepa01,66,0.0,5,66.0,66,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100746,2015,LAN,NL,nicasju01,54,1.0,52,53.0,53,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
100752,2015,NYA,AL,noelri01,15,0.0,15,2.0,0,0,0,0,0,0,0,0,2,2,3.0,2.0,12.0
100763,2015,NYA,AL,novaiv01,17,17.0,0,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100768,2015,HOU,AL,oberhbr01,8,8.0,1,8.0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100775,2015,BOS,AL,ogandal01,64,0.0,4,64.0,64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100786,2015,BOS,AL,ortizda01,146,143.0,146,9.0,0,0,9,0,0,0,0,0,0,0,134.0,3.0,0.0
100792,2015,BOS,AL,owenshe02,11,11.0,1,11.0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100812,2015,NYA,AL,pazosja01,11,0.0,2,11.0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100813,2015,HOU,AL,peacobr01,1,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100816,2015,LAN,NL,pederjo01,151,137.0,151,147.0,0,0,0,0,0,0,0,147,0,147,0.0,9.0,1.0
100817,2015,BOS,AL,pedrodu01,93,93.0,93,92.0,0,0,0,92,0,0,0,0,0,0,1.0,0.0,0.0
100818,2015,BOS,AL,pegueca01,4,1.0,4,4.0,0,0,0,0,0,0,4,0,0,4,0.0,1.0,0.0
100829,2015,LAN,NL,peraljo01,33,0.0,33,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100831,2015,LAN,NL,perazjo01,7,6.0,7,7.0,0,0,0,6,0,0,0,1,0,1,0.0,0.0,1.0
100839,2015,HOU,AL,perezol01,22,0.0,3,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100847,2015,NYA,AL,petitgr01,20,13.0,20,16.0,0,0,0,13,3,0,0,0,0,0,3.0,4.0,1.0
100857,2015,NYA,AL,pindebr01,25,0.0,2,25.0,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100858,2015,NYA,AL,pinedmi01,27,27.0,1,27.0,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100860,2015,NYA,AL,pireljo01,37,21.0,37,30.0,0,0,0,27,0,0,2,0,1,3,3.0,7.0,6.0
100869,2015,BOS,AL,porceri01,28,28.0,1,28.0,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100872,2015,HOU,AL,preslal01,8,4.0,8,6.0,0,0,0,0,0,0,4,1,1,6,0.0,0.0,2.0
100877,2015,LAN,NL,puigya01,79,71.0,79,78.0,0,0,0,0,0,0,0,0,78,78,0.0,5.0,0.0
100881,2015,HOU,AL,quallch01,60,0.0,4,60.0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100888,2015,BOS,AL,ramirha01,105,103.0,105,92.0,0,0,0,0,1,0,92,0,0,92,11.0,2.0,0.0
100892,2015,NYA,AL,ramirjo02,3,0.0,2,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100895,2015,BOS,AL,ramirno01,17,0.0,0,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100900,2015,HOU,AL,rasmuco01,137,115.0,137,131.0,0,0,0,0,0,0,72,43,43,131,0.0,12.0,0.0
100904,2015,LAN,NL,ravinjo01,9,0.0,8,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100916,2015,NYA,AL,refsnro01,16,12.0,16,15.0,0,0,0,15,0,0,0,0,0,0,0.0,2.0,1.0
100947,2015,NYA,AL,rodrial01,151,138.0,151,6.0,0,0,2,0,4,0,0,0,0,0,136.0,12.0,0.0
100948,2015,BOS,AL,rodried05,21,21.0,1,21.0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100952,2015,LAN,NL,rodrist02,18,0.0,18,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100955,2015,NYA,AL,rogeres01,18,0.0,1,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100959,2015,LAN,NL,rolliji01,144,128.0,144,134.0,0,0,0,0,0,134,0,0,0,0,0.0,13.0,3.0
100964,2015,NYA,AL,rominau01,1,1.0,1,1.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
100979,2015,BOS,AL,rossro01,54,0.0,5,54.0,54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100984,2015,LAN,NL,ruggiju01,21,13.0,21,16.0,0,0,0,0,0,0,16,0,2,16,0.0,8.0,0.0
100987,2015,NYA,AL,rumbeni01,17,0.0,1,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100992,2015,BOS,AL,rutlejo01,39,19.0,39,35.0,0,0,0,30,5,0,0,0,0,0,4.0,3.0,5.0
100993,2015,NYA,AL,ryanbr01,47,29.0,47,43.0,1,0,3,26,14,6,0,0,2,2,0.0,5.0,3.0
100997,2015,NYA,AL,sabatcc01,29,29.0,1,29.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101010,2015,NYA,AL,sanchga02,2,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0
101013,2015,BOS,AL,sandopa01,126,122.0,126,123.0,0,0,0,0,123,0,0,0,0,0,0.0,4.0,0.0
101018,2015,HOU,AL,santado01,14,10.0,14,13.0,0,0,0,0,0,0,3,1,9,13,0.0,3.0,0.0
101022,2015,LAN,NL,santose01,12,0.0,12,12.0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101023,2015,NYA,AL,santose01,2,0.0,1,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101029,2015,LAN,NL,schebsc01,19,5.0,19,13.0,0,0,0,0,0,0,7,0,6,13,0.0,12.0,0.0
101040,2015,LAN,NL,seageco01,27,25.0,27,26.0,0,0,0,0,6,21,0,0,0,0,0.0,2.0,0.0
101044,2015,NYA,AL,severlu01,11,11.0,1,11.0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101048,2015,BOS,AL,shawtr01,65,55.0,65,63.0,0,0,55,0,8,0,1,0,0,1,0.0,2.0,2.0
101051,2015,NYA,AL,shrevch01,59,0.0,3,59.0,59,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101056,2015,HOU,AL,singljo02,19,13.0,19,14.0,0,0,14,0,0,0,0,0,0,0,4.0,4.0,0.0
101057,2015,HOU,AL,sippto01,60,0.0,3,60.0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101087,2015,HOU,AL,springe01,102,101.0,102,102.0,0,0,0,0,0,0,0,10,93,102,0.0,0.0,1.0
101091,2015,HOU,AL,stassma01,11,4.0,11,10.0,0,10,0,0,0,0,0,0,0,0,1.0,1.0,0.0
101097,2015,HOU,AL,straida01,4,3.0,0,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101109,2015,LAN,NL,surkaer01,1,0.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101115,2015,BOS,AL,swihabl01,84,78.0,84,83.0,0,83,0,0,0,0,0,0,0,0,0.0,4.0,0.0
101121,2015,NYA,AL,tanakma01,24,23.0,4,24.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101125,2015,BOS,AL,tazawju01,61,0.0,4,61.0,61,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101129,2015,NYA,AL,teixema01,111,108.0,111,108.0,0,0,108,0,0,0,0,0,0,0,3.0,2.0,0.0
101135,2015,HOU,AL,thatcjo01,43,0.0,3,43.0,43,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101140,2015,LAN,NL,thomaia01,9,1.0,9,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101154,2015,LAN,NL,torrero01,8,0.0,8,6.0,0,0,0,4,3,0,0,0,0,0,0.0,2.0,2.0
101155,2015,NYA,AL,tracyma01,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101162,2015,LAN,NL,tsaoch01,5,0.0,5,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101163,2015,HOU,AL,tuckepr01,98,76.0,98,90.0,0,0,0,0,0,0,79,0,14,90,3.0,15.0,2.0
101167,2015,LAN,NL,turneju01,126,98.0,126,110.0,0,0,10,5,100,1,0,0,0,0,0.0,19.0,0.0
101169,2015,BOS,AL,ueharko01,43,0.0,1,43.0,43,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101175,2015,LAN,NL,uribeju01,29,22.0,29,24.0,0,0,0,0,24,0,0,0,0,0,0.0,5.0,0.0
101179,2015,LAN,NL,utleych01,34,30.0,34,30.0,0,0,2,26,3,0,0,0,0,0,1.0,4.0,0.0
101181,2015,HOU,AL,valbulu01,132,122.0,132,128.0,0,0,31,1,99,0,0,0,0,0,2.0,6.0,0.0
101186,2015,LAN,NL,vanslsc01,96,53.0,96,88.0,0,0,21,0,0,0,55,3,22,74,1.0,25.0,0.0
101189,2015,BOS,AL,varvaan01,9,0.0,0,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101191,2015,HOU,AL,velasvi01,19,7.0,1,19.0,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101200,2015,BOS,AL,victosh01,33,26.0,33,32.0,0,0,0,0,0,0,0,0,32,32,0.0,5.0,0.0
101203,2015,HOU,AL,villajo01,53,28.0,53,42.0,0,0,0,3,12,22,5,2,0,7,4.0,10.0,9.0
101223,2015,NYA,AL,warread01,43,17.0,2,43.0,43,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101230,2015,BOS,AL,weeksje01,3,2.0,3,3.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0
101233,2015,LAN,NL,westma03,2,0.0,2,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101234,2015,NYA,AL,whitlch01,4,4.0,0,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101235,2015,LAN,NL,wielajo01,2,2.0,1,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101241,2015,NYA,AL,willima07,8,7.0,8,8.0,0,0,0,0,0,0,0,8,0,8,0.0,0.0,0.0
101248,2015,NYA,AL,wilsoju10,74,0.0,6,74.0,74,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101252,2015,HOU,AL,wojcias01,5,3.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101256,2015,LAN,NL,woodal02,12,12.0,11,12.0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101262,2015,BOS,AL,wrighst01,16,9.0,1,16.0,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101269,2015,NYA,AL,youngch04,140,77.0,140,129.0,0,0,0,0,0,0,55,15,76,129,2.0,13.0,14.0
101281,2016,BOS,AL,abadfe01,18,0.0,2,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101285,2016,NYA,AL,ackledu01,28,17.0,28,22.0,0,0,13,1,0,0,0,0,9,9,3.0,6.0,0.0
101307,2016,HOU,AL,altuvjo01,161,160.0,161,148.0,0,0,0,148,0,1,0,0,0,0,13.0,0.0,1.0
101314,2016,LAN,NL,anderbr04,4,3.0,4,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101339,2016,NYA,AL,austity01,31,23.0,31,29.0,0,0,27,0,0,0,2,0,3,5,1.0,3.0,0.0
101341,2016,LAN,NL,avilalu01,27,0.0,26,27.0,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101347,2016,LAN,NL,baezpe01,73,0.0,67,73.0,73,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101352,2016,NYA,AL,barbajo01,13,0.0,0,13.0,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101353,2016,LAN,NL,barneau01,21,7.0,21,16.0,0,9,0,7,1,0,0,0,0,0,0.0,8.0,1.0
101358,2016,BOS,AL,barnema01,62,0.0,2,62.0,62,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101378,2016,NYA,AL,beltrca01,99,92.0,99,60.0,0,0,0,0,0,0,0,0,60,60,34.0,7.0,0.0
101380,2016,BOS,AL,beninan01,34,30.0,34,32.0,0,0,0,0,0,0,29,5,0,32,0.0,3.0,0.0
