,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
102490,rodgebr01,2016,1,HOU,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102494,rodrial01,2016,1,NYA,AL,65,225,19,45,7,0,9,31.0,3.0,0.0,14,67.0,0.0,1.0,0.0,3.0,4.0
102495,rodried05,2016,1,BOS,AL,20,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
102510,rominau01,2016,1,NYA,AL,62,165,17,40,11,0,4,26.0,1.0,0.0,7,31.0,1.0,0.0,1.0,3.0,7.0
102522,rossro01,2016,1,BOS,AL,54,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102531,ruizca01,2016,2,LAN,NL,14,36,3,10,2,0,0,3.0,0.0,0.0,3,5.0,0.0,1.0,0.0,0.0,1.0
102537,rutlejo01,2016,1,BOS,AL,28,49,9,13,6,0,0,3.0,2.0,0.0,6,19.0,0.0,0.0,1.0,0.0,3.0
102540,ryuhy01,2016,1,LAN,NL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102543,sabatcc01,2016,1,NYA,AL,30,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
102556,sanchga02,2016,1,NYA,AL,53,201,34,60,12,0,20,42.0,1.0,0.0,24,57.0,2.0,2.0,0.0,2.0,5.0
102559,sandopa01,2016,1,BOS,AL,3,6,0,0,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0
102585,scottro02,2016,1,BOS,AL,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102588,seageco01,2016,1,LAN,NL,157,627,105,193,40,5,26,72.0,3.0,3.0,54,133.0,5.0,4.0,0.0,2.0,12.0
102590,segedro01,2016,1,LAN,NL,40,73,9,17,2,1,2,12.0,0.0,0.0,6,22.0,0.0,2.0,0.0,2.0,1.0
102594,severlu01,2016,1,NYA,AL,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102598,shawtr01,2016,1,BOS,AL,145,480,63,116,34,2,16,71.0,5.0,1.0,43,133.0,4.0,3.0,0.0,4.0,10.0
102603,shrevch01,2016,1,NYA,AL,37,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102609,sippto01,2016,1,HOU,AL,60,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102612,smithca02,2016,1,BOS,AL,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102630,solando01,2016,1,NYA,AL,9,22,5,5,2,0,1,2.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0
102640,springe01,2016,1,HOU,AL,162,644,116,168,29,5,29,82.0,9.0,10.0,88,178.0,2.0,11.0,0.0,1.0,12.0
102643,stassma01,2016,1,HOU,AL,9,13,1,1,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0
102645,stewabr01,2016,1,LAN,NL,7,10,0,1,0,0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0
102656,stripro01,2016,1,LAN,NL,22,24,2,2,0,0,0,1.0,0.0,0.0,2,12.0,0.0,0.0,1.0,0.0,0.0
102673,swarzan01,2016,1,NYA,AL,26,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102674,swihabl01,2016,1,BOS,AL,19,62,9,16,0,3,0,5.0,0.0,1.0,11,17.0,0.0,0.0,0.0,1.0,0.0
102678,tanakma01,2016,1,NYA,AL,31,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
102681,tayloch03,2016,2,LAN,NL,34,58,8,12,2,2,1,7.0,0.0,0.0,4,13.0,1.0,0.0,0.0,0.0,3.0
102683,tazawju01,2016,1,BOS,AL,53,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102685,teixema01,2016,1,NYA,AL,116,387,43,79,16,0,15,44.0,2.0,0.0,47,105.0,1.0,2.0,0.0,2.0,7.0
102690,tepesni01,2016,1,LAN,NL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
102693,thomptr01,2016,1,LAN,NL,80,236,31,53,11,0,13,32.0,5.0,1.0,26,66.0,0.0,0.0,0.0,0.0,3.0
102698,tolesan01,2016,1,LAN,NL,48,105,19,33,9,1,3,16.0,1.0,1.0,8,25.0,2.0,1.0,0.0,1.0,1.0
102707,torrero01,2016,1,NYA,AL,72,155,20,40,7,4,1,12.0,2.0,1.0,10,20.0,0.0,1.0,1.0,1.0,4.0
