,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
45720,tollias01,2017,1,HOU,AL,0,0,3,0,0,0,0,15,4,2,0,4,5,0.235,3.6,0.0,1,1.0,0,22.0,0,2,0.0,0.0,0.0
45734,uriasju01,2017,1,LAN,NL,0,2,5,5,0,0,0,70,23,14,1,14,11,0.271,5.4,1.0,1,1.0,1,102.0,0,15,2.0,0.0,6.0
45741,velazhe01,2017,1,BOS,AL,3,1,8,3,0,0,0,74,21,8,4,7,19,0.236,2.92,0.0,0,0.0,0,96.0,4,8,0.0,0.0,2.0
45744,verlaju01,2017,2,HOU,AL,5,0,5,5,0,0,0,102,17,4,4,5,43,0.149,1.06,0.0,0,1.0,0,120.0,0,4,0.0,0.0,4.0
45756,warread01,2017,1,NYA,AL,3,2,46,0,0,0,1,172,35,15,4,15,54,0.173,2.35,2.0,5,1.0,0,223.0,7,19,0.0,5.0,2.0
45758,watsoto01,2017,2,LAN,NL,2,1,24,0,0,0,0,60,15,6,2,6,18,0.208,2.7,3.0,0,2.0,0,82.0,1,6,2.0,0.0,2.0
45761,webbty01,2017,1,NYA,AL,0,0,7,0,0,0,0,18,3,3,1,4,5,0.158,4.5,0.0,0,0.0,0,23.0,2,3,0.0,0.0,1.0
45767,whitety01,2017,1,HOU,AL,0,0,1,0,0,0,0,3,2,2,1,0,0,0.4,18.0,0.0,0,0.0,0,5.0,1,2,0.0,0.0,0.0
45784,woodal02,2017,1,LAN,NL,16,3,27,25,0,0,0,457,123,46,15,38,151,0.217,2.72,6.0,2,6.0,0,614.0,0,50,4.0,0.0,10.0
45791,workmbr01,2017,1,BOS,AL,1,1,33,0,0,0,0,119,37,14,7,11,37,0.252,3.18,2.0,1,1.0,0,162.0,8,17,2.0,1.0,5.0
45795,wrighst01,2017,1,BOS,AL,1,3,5,5,0,0,0,72,40,22,9,5,13,0.377,8.25,1.0,1,2.0,0,114.0,0,24,0.0,1.0,5.0
45808,adamsch01,2018,1,NYA,AL,0,1,3,1,0,0,0,23,8,6,3,4,4,0.267,7.04,0.0,0,0.0,0,34.0,1,7,0.0,0.0,2.0
45812,alexasc01,2018,1,LAN,NL,2,1,73,1,0,0,3,198,57,27,4,27,56,0.239,3.68,2.0,2,2.0,0,268.0,8,28,1.0,0.0,15.0
45841,axforjo01,2018,2,LAN,NL,0,0,5,0,0,0,0,11,8,7,0,2,4,0.444,17.18,0.0,0,1.0,0,22.0,1,8,0.0,1.0,0.0
45842,baezpe01,2018,1,LAN,NL,4,3,55,0,0,0,0,169,46,18,4,23,62,0.22,2.88,2.0,0,1.0,1,237.0,8,19,2.0,2.0,3.0
45851,barnema01,2018,1,BOS,AL,6,4,62,0,0,0,0,185,47,25,5,31,96,0.204,3.65,1.0,8,2.0,0,265.0,8,25,0.0,2.0,2.0
45867,beeksja01,2018,1,BOS,AL,0,1,2,1,0,0,0,19,11,9,1,4,5,0.379,12.79,0.0,0,1.0,0,34.0,0,9,0.0,0.0,1.0
45875,betande01,2018,1,NYA,AL,4,6,66,0,0,0,4,200,44,20,7,26,115,0.186,2.7,2.0,4,5.0,1,272.0,15,22,3.0,1.0,3.0
45898,brasiry01,2018,1,BOS,AL,2,0,34,0,0,0,0,101,19,6,2,7,29,0.171,1.6,0.0,1,0.0,0,124.0,5,6,1.0,5.0,3.0
45906,brittza01,2018,2,NYA,AL,1,0,25,0,0,0,3,75,18,8,2,11,21,0.196,2.88,0.0,5,2.0,0,106.0,10,10,0.0,1.0,3.0
45911,buehlwa01,2018,1,LAN,NL,8,5,24,23,0,0,0,412,95,40,12,37,151,0.193,2.62,1.0,4,6.0,0,541.0,0,43,2.0,3.0,5.0
45938,cessalu01,2018,1,NYA,AL,1,4,16,5,0,0,2,134,51,26,5,13,39,0.282,5.24,0.0,7,0.0,0,195.0,6,27,1.0,0.0,3.0
45941,chapmar01,2018,1,NYA,AL,3,0,55,0,0,0,32,154,24,14,2,30,93,0.136,2.45,0.0,9,5.0,0,212.0,43,15,0.0,0.0,0.0
45942,chargjt01,2018,1,LAN,NL,2,4,39,0,0,0,0,97,26,12,4,15,40,0.222,3.34,3.0,3,2.0,0,135.0,4,13,1.0,0.0,2.0
45950,cingrto01,2018,1,LAN,NL,1,2,30,0,0,0,0,68,19,12,2,6,36,0.221,4.76,1.0,1,3.0,2,95.0,2,12,0.0,0.0,0.0
45958,coleaj01,2018,2,NYA,AL,3,1,28,0,0,0,0,114,39,18,9,16,49,0.258,4.26,1.0,2,0.0,0,168.0,13,23,0.0,1.0,2.0
45959,colege01,2018,1,HOU,AL,15,5,32,32,1,1,0,601,143,64,19,64,276,0.198,2.88,0.0,9,7.0,0,799.0,0,68,2.0,3.0,11.0
45971,corcida01,2018,1,LAN,NL,0,0,2,0,0,0,1,12,2,1,0,3,1,0.143,2.25,0.0,1,1.0,0,18.0,2,2,0.0,0.0,0.0
45980,cuevawi01,2018,1,BOS,AL,0,2,9,1,0,0,0,51,20,14,3,11,20,0.294,7.41,0.0,2,4.0,0,84.0,3,14,1.0,0.0,1.0
45992,davisjd01,2018,1,HOU,AL,0,0,1,0,0,0,0,3,1,1,1,0,1,0.25,9.0,0.0,0,0.0,0,4.0,1,1,0.0,0.0,0.0
45994,deetzde01,2018,1,HOU,AL,0,0,4,0,0,0,0,10,4,2,1,1,3,0.308,5.4,0.0,0,1.0,0,15.0,3,2,0.0,0.0,0.0
46006,devench02,2018,1,HOU,AL,2,3,50,1,0,0,2,142,42,22,9,13,51,0.236,4.18,1.0,1,3.0,1,196.0,8,23,1.0,1.0,3.0
46033,eovalna01,2018,2,BOS,AL,3,3,12,11,0,0,0,162,57,20,3,12,48,0.266,3.33,0.0,3,2.0,0,231.0,0,28,1.0,2.0,5.0
46045,ferguca01,2018,1,LAN,NL,7,2,29,3,0,0,2,147,43,19,8,12,59,0.23,3.49,1.0,1,3.0,0,202.0,7,21,0.0,0.0,4.0
46048,fieldjo03,2018,1,LAN,NL,2,2,45,0,0,0,2,123,28,10,4,11,33,0.196,2.2,1.0,0,0.0,0,154.0,10,10,0.0,0.0,3.0
46059,florody01,2018,2,LAN,NL,3,1,29,0,0,0,0,83,18,5,1,11,31,0.182,1.63,3.0,1,1.0,1,112.0,7,5,1.0,0.0,2.0
46062,fontwi01,2018,1,LAN,NL,0,2,6,0,0,0,0,31,18,13,5,1,7,0.383,11.32,1.0,0,0.0,0,48.0,6,13,0.0,0.0,0.0
46076,gallegi01,2018,1,NYA,AL,0,0,4,0,0,0,1,30,10,5,2,3,10,0.278,4.5,0.0,0,0.0,0,40.0,2,5,1.0,0.0,1.0
46085,garciyi01,2018,1,LAN,NL,1,2,25,0,0,0,0,67,29,14,7,4,19,0.305,5.64,1.0,0,2.0,0,101.0,3,18,0.0,0.0,0.0
46095,germado01,2018,1,NYA,AL,2,6,21,14,0,0,0,257,81,53,15,33,102,0.242,5.57,0.0,7,5.0,1,375.0,2,55,0.0,2.0,2.0
46097,gileske01,2018,1,HOU,AL,0,2,34,0,0,0,12,92,36,17,2,3,31,0.286,4.99,0.0,1,0.0,0,129.0,24,17,0.0,0.0,2.0
46109,goedder01,2018,2,LAN,NL,1,0,26,0,0,0,0,88,22,11,4,15,35,0.202,3.38,2.0,1,1.0,0,126.0,4,11,0.0,1.0,0.0
46128,grayso01,2018,1,NYA,AL,11,9,30,23,0,0,0,391,138,71,14,57,123,0.27,4.9,0.0,9,8.0,1,582.0,2,73,1.0,5.0,6.0
46129,greench03,2018,1,NYA,AL,8,3,63,0,0,0,0,227,64,21,9,15,94,0.229,2.5,2.0,3,1.0,0,298.0,3,22,0.0,3.0,2.0
46136,guduare01,2018,1,HOU,AL,0,0,3,0,0,0,0,10,1,1,1,0,4,0.091,2.7,0.0,0,0.0,0,11.0,2,1,0.0,0.0,0.0
46146,haleda02,2018,1,NYA,AL,0,0,1,0,0,0,0,6,3,0,0,0,3,0.333,0.0,0.0,0,0.0,0,9.0,1,0,0.0,0.0,0.0
46148,haleda02,2018,3,NYA,AL,0,0,2,0,0,0,0,26,9,3,2,1,3,0.257,3.12,0.0,0,1.0,0,37.0,0,3,0.0,0.0,0.0
46149,haleyju01,2018,1,BOS,AL,0,0,4,0,0,0,0,23,10,4,2,3,0,0.323,4.7,0.0,0,0.0,0,35.0,3,4,0.0,1.0,0.0
46161,happja01,2018,2,NYA,AL,7,0,11,11,0,0,0,191,51,19,10,16,63,0.217,2.69,0.0,3,5.0,1,258.0,0,20,1.0,1.0,5.0
46163,harriwi02,2018,1,HOU,AL,5,3,61,0,0,0,0,170,48,22,3,14,64,0.226,3.49,1.0,6,2.0,0,230.0,11,22,1.0,1.0,4.0
46171,hembrhe01,2018,1,BOS,AL,4,1,67,0,0,0,0,180,53,28,10,27,76,0.233,4.2,1.0,4,1.0,1,260.0,10,30,0.0,5.0,2.0
46176,hernaen02,2018,1,LAN,NL,0,1,1,0,0,0,0,1,1,3,1,2,0,0.5,81.0,0.0,0,0.0,0,4.0,1,3,0.0,0.0,0.0
46183,hillri01,2018,1,LAN,NL,11,5,25,24,0,0,0,398,108,54,20,41,150,0.219,3.66,3.0,2,8.0,1,547.0,0,57,4.0,1.0,4.0
46188,holdejo02,2018,1,NYA,AL,1,3,60,1,0,0,0,198,53,23,4,19,60,0.214,3.14,3.0,1,1.0,0,272.0,14,27,2.0,2.0,2.0
46196,hoytja01,2018,1,HOU,AL,0,0,1,0,0,0,0,1,1,0,0,1,0,0.5,0.0,0.0,0,0.0,0,3.0,0,0,0.0,0.0,0.0
46198,hudsoda01,2018,1,LAN,NL,3,2,40,1,0,0,0,138,38,21,6,18,44,0.217,4.11,1.0,3,4.0,0,197.0,11,25,0.0,0.0,3.0
46210,jamesjo02,2018,1,HOU,AL,2,0,6,3,0,0,0,69,15,6,3,7,29,0.183,2.35,0.0,0,2.0,0,91.0,0,6,0.0,0.0,2.0
46211,janseke01,2018,1,LAN,NL,1,5,69,0,0,0,38,215,54,24,13,17,82,0.201,3.01,1.0,0,2.0,2,289.0,59,28,0.0,1.0,2.0
46218,johnsbr02,2018,1,BOS,AL,4,5,38,13,0,0,0,298,104,46,16,38,87,0.263,4.17,0.0,1,1.0,0,434.0,10,49,0.0,0.0,6.0
46225,kahnlto01,2018,1,NYA,AL,2,0,24,0,0,0,1,70,23,17,3,15,30,0.256,6.56,0.0,2,0.0,0,107.0,7,22,0.0,2.0,2.0
46232,kellyjo05,2018,1,BOS,AL,4,2,73,0,0,0,2,197,57,32,4,32,68,0.234,4.39,0.0,4,5.0,0,285.0,9,34,0.0,4.0,6.0
46235,kershcl01,2018,1,LAN,NL,9,5,26,26,0,0,0,484,139,49,17,29,155,0.227,2.73,0.0,10,2.0,0,650.0,0,55,3.0,2.0,8.0
46236,keuchda01,2018,1,HOU,AL,12,11,34,34,1,0,0,614,211,85,18,58,153,0.263,3.74,0.0,9,2.0,0,874.0,0,92,3.0,9.0,18.0
46238,kimbrcr01,2018,1,BOS,AL,5,1,63,0,0,0,42,187,31,19,7,31,96,0.146,2.74,0.0,7,2.0,0,247.0,57,19,1.0,0.0,2.0
46252,kontoge01,2018,3,NYA,AL,0,0,1,0,0,0,0,5,1,0,0,0,2,0.167,0.0,0.0,0,0.0,0,6.0,0,0,0.0,0.0,0.0
46272,liberad01,2018,1,LAN,NL,2,1,17,0,0,0,0,39,10,4,1,8,12,0.227,2.77,0.0,0,1.0,0,54.0,4,4,1.0,0.0,2.0
46277,loaisjo01,2018,1,NYA,AL,2,0,9,4,0,0,0,74,26,14,3,12,33,0.271,5.11,0.0,0,0.0,0,108.0,2,17,0.0,0.0,4.0
46294,lynnla01,2018,2,NYA,AL,3,2,11,9,0,0,0,163,58,25,2,14,61,0.267,4.14,0.0,2,0.0,0,231.0,0,26,0.0,0.0,3.0
46297,madsory01,2018,2,LAN,NL,0,0,9,0,0,0,0,25,10,6,1,1,13,0.294,6.48,0.0,1,0.0,0,36.0,1,6,0.0,1.0,0.0
46298,maedake01,2018,1,LAN,NL,8,10,39,20,0,0,2,376,115,53,13,43,153,0.24,3.81,4.0,2,5.0,2,532.0,4,58,2.0,3.0,7.0
46323,mcculla02,2018,1,HOU,AL,10,6,25,22,0,0,0,385,100,55,12,50,142,0.215,3.86,0.0,14,7.0,1,527.0,0,60,1.0,4.0,13.0
46330,mchugco01,2018,1,HOU,AL,6,2,58,0,0,0,0,217,45,16,6,21,94,0.176,1.99,0.0,0,5.0,0,283.0,18,18,1.0,1.0,1.0
46357,montgjo01,2018,1,NYA,AL,2,0,6,6,0,0,0,82,25,11,3,12,23,0.24,3.62,0.0,0,0.0,0,116.0,0,11,0.0,0.0,3.0
46367,mortoch02,2018,1,HOU,AL,15,3,30,30,0,0,0,501,130,58,18,64,201,0.213,3.13,0.0,4,16.0,0,695.0,0,63,1.0,4.0,12.0
46373,nealza01,2018,1,LAN,NL,0,0,1,0,0,0,0,3,2,1,1,0,0,0.4,9.0,0.0,0,0.0,0,5.0,1,1,0.0,0.0,0.0
46401,osunaro01,2018,2,HOU,AL,2,2,23,0,0,0,12,68,17,5,1,3,19,0.21,1.99,0.0,2,2.0,0,87.0,18,5,0.0,1.0,2.0
46408,pareded02,2018,1,LAN,NL,2,0,15,0,0,0,0,23,7,5,2,2,8,0.233,5.87,0.0,0,1.0,0,33.0,1,5,0.0,0.0,0.0
46414,peacobr01,2018,1,HOU,AL,3,5,61,1,0,0,3,195,56,25,11,20,96,0.226,3.46,0.0,5,3.0,0,272.0,20,26,0.0,1.0,3.0
46422,perezci01,2018,1,HOU,AL,0,0,8,0,0,0,0,34,6,5,3,7,12,0.158,3.97,0.0,0,0.0,0,45.0,3,5,0.0,0.0,2.0
46435,pomerdr01,2018,1,BOS,AL,2,6,26,11,0,0,0,222,87,50,12,44,66,0.297,6.08,1.0,4,4.0,1,344.0,5,53,0.0,3.0,9.0
46437,porceri01,2018,1,BOS,AL,17,7,33,33,1,0,0,574,177,91,27,48,190,0.241,4.28,0.0,3,16.0,1,808.0,0,97,3.0,6.0,8.0
46439,poynebo01,2018,1,BOS,AL,1,0,20,0,0,0,0,67,22,8,4,3,24,0.256,3.22,0.0,0,2.0,0,93.0,4,8,1.0,1.0,0.0
46441,pressry01,2018,2,HOU,AL,1,0,26,0,0,0,2,70,11,2,1,3,32,0.138,0.77,0.0,2,1.0,0,84.0,4,2,0.0,0.0,0.0
46442,priceda01,2018,1,BOS,AL,16,7,30,30,1,0,0,528,151,70,25,50,177,0.23,3.58,0.0,1,10.0,0,722.0,0,75,1.0,4.0,10.0
46476,roberda08,2018,1,NYA,AL,8,3,69,0,0,0,5,209,46,25,7,26,91,0.183,3.23,1.0,1,0.0,0,283.0,11,30,4.0,1.0,2.0
46484,rodried05,2018,1,BOS,AL,13,5,27,23,0,0,0,389,119,55,16,45,146,0.238,3.82,1.0,1,4.0,0,553.0,0,56,0.0,3.0,5.0
46499,rondohe01,2018,1,HOU,AL,2,5,63,0,0,0,15,177,58,21,4,20,67,0.252,3.2,2.0,1,0.0,0,250.0,26,22,0.0,0.0,5.0
46501,rosscza01,2018,1,LAN,NL,0,1,17,0,0,0,0,34,9,6,3,4,20,0.209,4.76,0.0,0,0.0,0,47.0,5,6,0.0,0.0,0.0
46511,ryuhy01,2018,1,LAN,NL,7,3,15,15,0,0,0,247,68,18,9,15,89,0.221,1.97,1.0,0,1.0,0,324.0,0,23,1.0,0.0,8.0
46514,sabatcc01,2018,1,NYA,AL,9,7,29,29,0,0,0,459,150,62,19,51,140,0.25,3.65,0.0,3,11.0,0,665.0,0,72,0.0,3.0,9.0
46518,salech01,2018,1,BOS,AL,12,4,27,27,0,0,0,474,102,37,11,34,237,0.181,2.11,0.0,4,14.0,0,617.0,0,39,0.0,4.0,4.0
46524,santade01,2018,1,LAN,NL,1,0,1,0,0,0,0,11,6,5,0,1,4,0.375,12.27,0.0,1,1.0,0,19.0,0,5,1.0,0.0,0.0
46533,scottro02,2018,1,BOS,AL,0,1,9,0,0,0,0,20,10,6,2,5,8,0.333,8.1,2.0,0,5.0,0,40.0,4,6,0.0,0.0,0.0
46537,severlu01,2018,1,NYA,AL,19,8,32,32,1,1,0,574,173,72,19,46,220,0.238,3.39,0.0,8,5.0,0,780.0,0,76,1.0,2.0,13.0
46542,sheffju01,2018,1,NYA,AL,0,0,3,0,0,0,0,8,4,3,1,3,0,0.364,10.13,0.0,1,0.0,0,14.0,2,3,0.0,0.0,1.0
46548,shrevch01,2018,1,NYA,AL,2,2,40,0,0,0,1,114,39,18,8,18,46,0.262,4.26,0.0,2,1.0,0,170.0,17,23,0.0,2.0,1.0
46552,sippto01,2018,1,HOU,AL,3,1,54,0,0,0,0,116,27,8,1,13,42,0.2,1.86,0.0,2,1.0,0,151.0,8,8,0.0,2.0,3.0
46557,smithca02,2018,1,BOS,AL,1,1,18,0,0,0,0,43,14,6,2,6,18,0.241,3.77,0.0,0,0.0,0,64.0,5,6,0.0,0.0,0.0
46560,smithjo05,2018,1,HOU,AL,5,1,56,0,0,0,0,137,34,19,7,12,46,0.207,3.74,0.0,1,2.0,0,180.0,13,20,0.0,2.0,4.0
46582,stewabr01,2018,1,LAN,NL,0,1,9,2,0,0,0,53,23,12,4,9,14,0.303,6.11,3.0,1,2.0,0,90.0,3,15,1.0,1.0,1.0
46591,stripro01,2018,1,LAN,NL,8,6,33,21,0,0,0,366,123,41,18,22,136,0.257,3.02,2.0,3,1.0,0,503.0,2,42,2.0,0.0,6.0
46603,tanakma01,2018,1,NYA,AL,12,6,27,27,1,1,0,468,141,65,25,35,159,0.24,3.75,0.0,3,7.0,0,635.0,0,68,3.0,2.0,13.0
46604,tarplst01,2018,1,NYA,AL,0,0,10,0,0,0,0,27,6,3,0,6,13,0.176,3.0,0.0,0,0.0,0,40.0,3,3,0.0,0.0,0.0
46611,thornty01,2018,1,BOS,AL,2,0,25,0,0,0,0,72,28,15,6,10,21,0.295,5.63,0.0,2,1.0,0,107.0,9,15,0.0,1.0,3.0
46629,uriasju01,2018,1,LAN,NL,0,0,3,0,0,0,0,12,1,0,0,0,7,0.077,0.0,0.0,0,0.0,0,13.0,3,0,0.0,0.0,0.0
46630,valdefr01,2018,1,HOU,AL,4,1,8,5,0,0,0,111,22,9,3,24,34,0.175,2.19,0.0,5,4.0,0,154.0,0,10,0.0,0.0,7.0
46639,velazhe01,2018,1,BOS,AL,7,2,47,8,0,0,0,255,97,30,7,26,53,0.29,3.18,1.0,4,7.0,0,370.0,15,35,0.0,2.0,12.0
46640,vendipa01,2018,1,LAN,NL,0,0,15,0,0,0,0,42,11,4,1,3,9,0.212,2.57,1.0,0,2.0,0,57.0,6,4,0.0,0.0,2.0
46644,verlaju01,2018,1,HOU,AL,16,9,34,34,1,1,0,642,156,60,28,37,290,0.2,2.52,0.0,5,8.0,2,833.0,0,63,2.0,5.0,3.0
46653,waldema01,2018,1,BOS,AL,0,0,8,0,0,0,1,44,14,6,0,3,14,0.255,3.68,0.0,2,1.0,0,59.0,5,7,0.0,0.0,3.0
46655,warread01,2018,1,NYA,AL,0,1,24,0,0,0,0,90,26,9,3,12,37,0.228,2.7,0.0,1,1.0,0,128.0,6,9,0.0,1.0,0.0
46682,woodal02,2018,1,LAN,NL,9,7,33,27,0,0,0,455,143,62,14,40,135,0.247,3.68,5.0,2,8.0,1,637.0,0,70,3.0,7.0,14.0
46686,workmbr01,2018,1,BOS,AL,6,1,43,0,0,0,0,124,34,15,6,16,37,0.23,3.27,0.0,0,0.0,0,167.0,4,15,0.0,3.0,1.0
46689,wrighst01,2018,1,BOS,AL,3,1,20,4,0,0,1,161,41,16,5,26,42,0.21,2.68,1.0,0,2.0,0,223.0,4,17,0.0,0.0,5.0
46700,abreubr01,2019,1,HOU,AL,0,0,7,0,0,0,0,26,4,1,0,3,13,0.138,1.04,0.0,0,0.0,0,32.0,2,1,0.0,0.0,1.0
46706,adamsch01,2019,1,NYA,AL,1,1,13,0,0,0,1,76,39,24,7,11,23,0.351,8.53,0.0,1,2.0,1,124.0,5,25,0.0,0.0,2.0
46716,alexasc01,2019,1,LAN,NL,3,2,28,0,0,0,0,52,17,7,2,7,9,0.25,3.63,2.0,0,1.0,0,76.0,4,7,0.0,0.0,3.0
46742,armenro01,2019,1,HOU,AL,1,1,5,2,0,0,1,54,17,8,1,5,18,0.243,4.0,0.0,0,0.0,0,75.0,2,9,0.0,0.0,1.0
46751,baezpe01,2019,1,LAN,NL,7,2,71,0,0,0,1,209,43,24,6,23,69,0.174,3.1,1.0,0,4.0,0,276.0,9,30,2.0,0.0,7.0
46761,barnema01,2019,1,BOS,AL,5,4,70,0,0,0,4,193,51,27,8,38,110,0.21,3.78,2.0,13,2.0,1,285.0,14,29,0.0,1.0,3.0
46766,barreja01,2019,1,NYA,AL,0,0,2,0,0,0,0,11,6,6,2,2,4,0.353,14.73,0.0,0,0.0,0,19.0,2,6,0.0,0.0,0.0
46780,betande01,2019,1,NYA,AL,0,0,1,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0,0.0,0,2.0,0,0,0.0,0.0,0.0
46783,biagijo01,2019,2,HOU,AL,0,1,13,0,0,0,0,44,21,12,6,9,10,0.35,7.36,0.0,1,0.0,0,69.0,4,13,0.0,0.0,6.0
46808,brasiry01,2019,1,BOS,AL,2,4,62,0,0,0,7,167,51,30,9,21,61,0.238,4.85,1.0,3,3.0,0,241.0,15,33,0.0,3.0,2.0
46812,breweco01,2019,1,BOS,AL,1,2,58,0,0,0,0,164,59,25,6,34,52,0.277,4.12,1.0,9,2.0,0,253.0,8,26,1.0,3.0,7.0
46815,brittza01,2019,1,NYA,AL,3,1,66,0,0,0,3,184,38,13,3,32,53,0.182,1.91,1.0,3,1.0,0,245.0,15,13,1.0,2.0,11.0
46821,buehlwa01,2019,1,LAN,NL,14,4,30,30,2,0,0,547,153,66,20,37,215,0.223,3.26,0.0,4,7.0,0,737.0,0,77,2.0,6.0,8.0
46840,cashnan01,2019,2,BOS,AL,2,5,25,6,0,0,1,161,58,37,8,29,42,0.287,6.2,0.0,4,3.0,0,236.0,3,39,1.0,1.0,9.0
46847,cessalu01,2019,1,NYA,AL,2,1,43,0,0,0,1,243,75,37,14,31,75,0.246,4.11,1.0,1,3.0,0,343.0,14,42,0.0,4.0,9.0
46849,chacijh01,2019,2,BOS,AL,0,2,6,5,0,0,0,44,16,12,6,7,21,0.267,7.36,0.0,0,0.0,0,67.0,0,12,0.0,0.0,0.0
46851,chapmar01,2019,1,NYA,AL,3,2,60,0,0,0,37,171,38,14,3,25,85,0.185,2.21,0.0,6,1.0,0,235.0,53,18,0.0,3.0,4.0
46852,chargjt01,2019,1,LAN,NL,1,0,21,0,0,0,0,64,21,15,4,5,28,0.273,6.33,2.0,0,2.0,0,88.0,9,16,0.0,4.0,3.0
46868,colege01,2019,1,HOU,AL,20,5,33,33,0,0,0,637,142,59,29,48,326,0.186,2.5,0.0,4,3.0,3,817.0,0,66,1.0,3.0,7.0
46877,cortene01,2019,1,NYA,AL,5,1,33,1,0,0,0,200,75,42,16,28,69,0.281,5.67,1.0,1,1.0,0,298.0,7,44,0.0,2.0,5.0
46902,devench02,2019,1,HOU,AL,2,3,61,1,0,0,0,207,69,37,13,21,72,0.256,4.83,0.0,2,3.0,0,298.0,19,39,1.0,3.0,1.0
46922,dullry01,2019,2,NYA,AL,0,0,3,0,0,0,0,7,5,5,0,3,4,0.417,19.29,0.0,0,0.0,0,15.0,1,5,0.0,0.0,0.0
46940,eovalna01,2019,1,BOS,AL,2,1,23,12,0,0,0,203,72,45,16,35,70,0.276,5.99,0.0,6,3.0,0,302.0,2,46,1.0,2.0,10.0
46958,ferguca01,2019,1,LAN,NL,1,2,46,2,0,0,0,134,39,24,7,27,54,0.234,4.84,2.0,1,6.0,1,204.0,5,26,1.0,3.0,2.0
46966,florody01,2019,1,LAN,NL,5,3,50,0,0,0,0,140,46,22,4,14,42,0.253,4.24,5.0,1,2.0,0,201.0,4,25,2.0,1.0,3.0
46972,fordmi01,2019,1,NYA,AL,0,0,1,0,0,0,0,6,6,5,2,0,1,0.5,22.5,0.0,0,0.0,0,12.0,1,5,0.0,0.0,0.0
46993,garciyi01,2019,1,LAN,NL,1,4,64,0,0,0,0,187,40,25,15,14,66,0.178,3.61,2.0,1,6.0,1,247.0,22,28,1.0,1.0,1.0
47001,gearrco01,2019,2,NYA,AL,1,1,18,0,0,0,0,42,17,7,2,4,8,0.298,4.5,0.0,0,0.0,1,61.0,5,7,0.0,0.0,2.0
47002,germado01,2019,1,NYA,AL,18,4,27,24,0,0,0,429,125,64,30,39,153,0.228,4.03,0.0,5,5.0,0,594.0,0,69,1.0,1.0,6.0
47015,gonsoto01,2019,1,LAN,NL,4,2,11,6,0,0,1,120,26,13,4,15,37,0.178,2.93,0.0,2,1.0,0,163.0,1,15,0.0,1.0,0.0
47026,greench03,2019,1,NYA,AL,4,4,54,15,0,0,2,207,66,32,10,19,98,0.247,4.17,0.0,2,6.0,0,295.0,10,35,0.0,3.0,2.0
47031,greinza01,2019,2,HOU,AL,8,1,10,10,0,0,0,188,58,21,6,9,52,0.246,3.02,0.0,1,1.0,1,248.0,0,25,1.0,1.0,10.0
47034,guduare01,2019,1,HOU,AL,1,0,7,0,0,0,0,16,8,7,3,4,6,0.364,11.81,0.0,0,0.0,0,27.0,3,7,0.0,1.0,0.0
47047,haleda02,2019,1,NYA,AL,3,0,20,0,0,0,2,113,39,13,2,7,23,0.264,3.11,1.0,2,1.0,0,157.0,10,13,0.0,1.0,3.0
47052,happja01,2019,1,NYA,AL,12,8,31,30,0,0,0,484,160,88,34,49,140,0.258,4.91,1.0,3,5.0,0,678.0,0,88,0.0,2.0,17.0
47055,harriwi02,2019,1,HOU,AL,4,1,68,0,0,0,4,180,42,10,6,14,62,0.196,1.5,0.0,3,0.0,0,229.0,10,14,1.0,0.0,7.0
47060,harvejo01,2019,1,NYA,AL,1,0,9,0,0,0,0,30,11,5,1,7,11,0.282,4.5,0.0,0,1.0,0,48.0,4,6,0.0,1.0,2.0
47065,hellebe01,2019,1,NYA,AL,0,0,6,0,0,0,0,22,6,1,1,3,9,0.25,1.23,1.0,0,0.0,0,28.0,1,1,1.0,0.0,2.0
47068,hembrhe01,2019,1,BOS,AL,1,0,45,0,0,0,2,119,34,17,7,18,46,0.224,3.86,2.0,2,3.0,0,173.0,14,20,0.0,0.0,0.0
47073,hernada02,2019,1,BOS,AL,0,1,29,1,0,0,0,91,27,15,1,26,57,0.231,4.45,1.0,4,3.0,0,147.0,2,18,1.0,0.0,1.0
47081,hillri01,2019,1,LAN,NL,4,1,13,13,0,0,0,176,48,16,10,18,72,0.223,2.45,2.0,0,4.0,0,242.0,0,20,4.0,1.0,5.0
47086,holdejo02,2019,1,NYA,AL,5,2,34,1,0,0,0,124,43,29,8,11,46,0.256,6.31,1.0,0,2.0,0,181.0,8,32,0.0,0.0,1.0
47108,jamesjo02,2019,1,HOU,AL,5,1,49,1,0,0,1,184,46,32,10,35,100,0.203,4.7,0.0,6,4.0,0,266.0,18,34,0.0,0.0,1.0
47109,janseke01,2019,1,LAN,NL,5,3,62,0,0,0,33,189,51,26,9,16,80,0.213,3.71,0.0,2,4.0,3,263.0,51,28,0.0,3.0,3.0
47117,johnsbr02,2019,1,BOS,AL,1,3,21,7,0,0,0,121,53,27,6,23,31,0.315,6.02,3.0,5,0.0,0,193.0,3,29,2.0,0.0,1.0
47123,kahnlto01,2019,1,NYA,AL,3,2,72,0,0,0,0,184,45,25,9,20,88,0.2,3.67,0.0,8,2.0,0,248.0,5,27,0.0,1.0,4.0
