,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
43926,quallch01,2015,1,HOU,AL,3,5,60,0,0,0,4,148,46,24,6,9,46,0.247,4.38,1.0,3,2.0,0,202.0,17,24,1.0,4.0,2.0
43933,ramirjo02,2015,1,NYA,AL,0,0,3,0,0,0,0,9,6,5,0,4,2,0.4,15.0,0.0,3,1.0,0,20.0,1,5,0.0,0.0,0.0
43936,ramirno01,2015,1,BOS,AL,0,1,17,0,0,0,0,39,13,6,3,7,13,0.25,4.15,0.0,1,2.0,0,61.0,3,12,0.0,0.0,2.0
43943,ravinjo01,2015,1,LAN,NL,2,1,9,0,0,0,0,28,13,7,3,4,12,0.31,6.75,0.0,1,1.0,0,47.0,4,7,0.0,0.0,0.0
43969,rodried05,2015,1,BOS,AL,10,6,21,21,0,0,0,365,120,52,13,37,98,0.255,3.85,1.0,4,4.0,1,522.0,0,55,5.0,4.0,8.0
43972,rodrist02,2015,1,LAN,NL,0,0,18,0,0,0,0,31,10,3,0,3,8,0.263,2.61,0.0,0,0.0,0,42.0,4,3,0.0,1.0,0.0
43975,rogeres01,2015,1,NYA,AL,1,1,18,0,0,0,0,99,41,23,5,14,31,0.306,6.27,0.0,6,2.0,0,153.0,3,29,0.0,3.0,4.0
43989,rossro01,2015,1,BOS,AL,0,2,54,0,0,0,6,182,59,26,7,20,53,0.254,3.86,2.0,1,3.0,0,259.0,18,28,2.0,2.0,8.0
43992,rumbeni01,2015,1,NYA,AL,1,1,17,0,0,0,0,47,16,7,2,5,15,0.254,4.02,1.0,2,0.0,1,68.0,6,8,0.0,0.0,1.0
43995,ryanbr01,2015,1,NYA,AL,0,0,1,0,0,0,0,6,2,0,0,0,0,0.25,0.0,0.0,0,0.0,0,8.0,1,0,0.0,0.0,0.0
43999,sabatcc01,2015,1,NYA,AL,6,10,29,29,1,0,0,502,188,88,28,50,137,0.285,4.73,3.0,5,6.0,1,726.0,0,92,5.0,6.0,20.0
44010,santose01,2015,1,LAN,NL,0,0,12,0,0,0,0,40,13,7,2,7,15,0.245,4.73,1.0,4,0.0,0,61.0,6,7,0.0,1.0,1.0
44011,santose01,2015,2,NYA,AL,0,0,2,0,0,0,0,9,3,2,1,0,3,0.25,6.0,0.0,0,0.0,0,12.0,2,2,0.0,0.0,0.0
44019,severlu01,2015,1,NYA,AL,5,3,11,11,0,0,0,187,53,20,9,22,56,0.229,2.89,0.0,2,2.0,1,255.0,0,21,0.0,0.0,6.0
44023,shrevch01,2015,1,NYA,AL,6,2,59,0,0,0,0,175,49,20,10,33,64,0.228,3.09,2.0,4,1.0,0,251.0,13,21,2.0,0.0,5.0
44026,sippto01,2015,1,HOU,AL,3,4,60,0,0,0,0,163,41,12,5,15,62,0.208,1.99,1.0,4,1.0,0,216.0,12,13,2.0,1.0,2.0
44044,straida01,2015,1,HOU,AL,0,1,4,3,0,0,0,50,16,10,2,8,14,0.239,5.4,0.0,1,1.0,0,76.0,0,11,0.0,0.0,0.0
44052,surkaer01,2015,1,LAN,NL,0,0,1,0,0,0,0,10,4,4,2,1,4,0.308,10.8,0.0,0,2.0,0,16.0,0,4,0.0,0.0,0.0
44056,tanakma01,2015,1,NYA,AL,12,7,24,24,1,0,0,462,126,60,25,27,139,0.221,3.51,0.0,4,1.0,0,609.0,0,66,1.0,8.0,7.0
44057,tazawju01,2015,1,BOS,AL,2,7,61,0,0,0,3,176,65,27,5,13,56,0.28,4.14,1.0,9,1.0,1,247.0,13,28,0.0,1.0,5.0
44061,thatcjo01,2015,1,HOU,AL,1,3,43,0,0,0,0,68,23,8,1,12,26,0.274,3.18,0.0,0,0.0,0,100.0,3,8,2.0,2.0,3.0
44065,thomaia01,2015,2,LAN,NL,1,1,9,1,0,0,0,54,16,8,1,6,18,0.239,4.0,0.0,0,0.0,0,73.0,3,8,0.0,0.0,3.0
44075,tracyma01,2015,1,NYA,AL,0,0,1,0,0,0,0,6,2,0,0,2,1,0.222,0.0,0.0,0,0.0,0,11.0,1,3,0.0,0.0,0.0
44078,tsaoch01,2015,1,LAN,NL,1,1,5,0,0,0,0,21,15,8,3,3,7,0.441,10.29,1.0,0,0.0,0,37.0,0,9,0.0,0.0,0.0
44080,ueharko01,2015,1,BOS,AL,2,4,43,0,0,0,25,121,28,10,3,9,47,0.188,2.23,1.0,4,0.0,0,160.0,38,14,1.0,1.0,1.0
44084,varvaan01,2015,1,BOS,AL,0,1,9,0,0,0,0,33,14,5,0,6,8,0.311,4.09,1.0,1,0.0,0,51.0,2,5,0.0,0.0,0.0
44086,velasvi01,2015,1,HOU,AL,1,1,19,7,0,0,0,167,50,27,5,21,58,0.24,4.37,0.0,3,2.0,0,231.0,5,28,0.0,0.0,6.0
44106,warread01,2015,1,NYA,AL,7,7,43,17,0,0,1,394,114,48,10,39,104,0.236,3.29,1.0,7,7.0,0,534.0,5,51,2.0,2.0,14.0
44113,westma03,2015,1,LAN,NL,0,0,2,0,0,0,0,9,2,0,0,1,2,0.2,0.0,0.0,0,0.0,0,11.0,2,0,0.0,0.0,1.0
44114,whitlch01,2015,1,NYA,AL,1,2,4,4,0,0,0,58,20,9,3,5,16,0.26,4.19,0.0,2,2.0,0,84.0,0,9,0.0,0.0,0.0
44115,wielajo01,2015,1,LAN,NL,0,1,2,2,0,0,0,26,10,8,2,5,4,0.294,8.31,1.0,0,0.0,0,40.0,0,8,0.0,1.0,0.0
44122,wilsoju10,2015,1,NYA,AL,5,0,74,0,0,0,0,183,49,21,3,20,66,0.223,3.1,0.0,4,2.0,0,244.0,3,21,2.0,0.0,7.0
44126,wojcias01,2015,1,HOU,AL,0,1,5,3,0,0,0,49,23,13,2,7,16,0.329,7.16,0.0,1,0.0,0,79.0,2,13,0.0,2.0,0.0
44129,woodal02,2015,2,LAN,NL,5,6,12,12,0,0,0,211,66,34,7,23,49,0.253,4.35,2.0,1,2.0,1,292.0,0,36,4.0,2.0,9.0
44134,wrighst01,2015,1,BOS,AL,5,4,16,9,0,0,0,218,67,33,12,27,52,0.239,4.09,0.0,2,1.0,0,310.0,3,38,1.0,1.0,2.0
44144,abadfe01,2016,2,BOS,AL,0,2,18,0,0,0,0,38,13,9,2,8,12,0.255,6.39,0.0,1,1.0,0,60.0,7,9,0.0,0.0,1.0
44159,anderbr04,2016,1,LAN,NL,1,2,4,3,0,0,0,34,25,15,4,4,5,0.446,11.91,0.0,2,0.0,0,62.0,0,15,1.0,1.0,0.0
44172,avilalu01,2016,1,LAN,NL,3,0,27,0,0,0,0,59,12,7,0,10,28,0.176,3.2,4.0,1,2.0,0,82.0,3,8,2.0,0.0,1.0
44174,baezpe01,2016,1,LAN,NL,3,2,73,0,0,0,0,222,52,25,11,22,83,0.195,3.04,0.0,3,2.0,2,295.0,10,27,1.0,2.0,3.0
44178,barbajo01,2016,1,NYA,AL,1,2,13,0,0,0,0,39,13,11,2,5,15,0.26,7.62,0.0,0,2.0,0,57.0,5,11,0.0,0.0,0.0
44182,barnema01,2016,1,BOS,AL,4,3,62,0,0,0,1,200,62,30,6,31,71,0.248,4.05,1.0,4,3.0,0,287.0,13,32,2.0,1.0,3.0
44198,betande01,2016,1,NYA,AL,3,6,73,0,0,0,12,219,54,25,5,28,126,0.201,3.08,0.0,6,1.0,0,299.0,20,31,1.0,1.0,4.0
44204,blantjo01,2016,1,LAN,NL,7,2,75,0,0,0,0,240,55,22,7,26,80,0.194,2.48,4.0,3,2.0,0,315.0,15,23,0.0,3.0,5.0
44206,bleieri01,2016,1,NYA,AL,0,0,23,0,0,0,0,69,20,5,0,4,13,0.233,1.96,0.0,0,1.0,0,92.0,8,6,0.0,1.0,3.0
44208,bolsimi01,2016,1,LAN,NL,1,4,6,6,0,0,0,83,33,21,7,9,25,0.303,6.83,1.0,0,2.0,0,122.0,0,21,2.0,0.0,2.0
44227,buchhcl01,2016,1,BOS,AL,8,10,37,21,0,0,0,418,130,74,21,55,93,0.25,4.78,1.0,1,5.0,0,588.0,7,80,2.0,6.0,17.0
44256,cessalu01,2016,1,NYA,AL,4,4,17,9,0,0,0,211,64,34,16,14,46,0.241,4.35,0.0,2,3.0,0,285.0,5,36,1.0,1.0,3.0
44261,chapmar01,2016,1,NYA,AL,3,0,31,0,0,0,20,94,20,7,2,8,44,0.179,2.01,0.0,2,0.0,1,120.0,29,8,0.0,0.0,2.0
44263,chapmke02,2016,1,HOU,AL,0,0,9,0,0,0,0,24,15,8,0,4,6,0.395,9.0,0.0,0,0.0,0,42.0,1,8,0.0,0.0,1.0
44267,chaveje01,2016,2,LAN,NL,1,0,23,0,0,0,0,77,28,12,3,8,21,0.277,4.21,3.0,0,0.0,0,109.0,3,14,0.0,0.0,3.0
44276,clippty01,2016,2,NYA,AL,2,3,29,0,0,0,2,76,20,7,3,11,26,0.211,2.49,2.0,4,1.0,0,107.0,7,9,0.0,0.0,1.0
44278,cokeph01,2016,1,NYA,AL,0,0,3,0,0,0,0,18,7,4,1,4,1,0.292,6.0,0.0,0,1.0,0,29.0,2,5,0.0,0.0,1.0
44282,colemlo01,2016,1,LAN,NL,2,1,61,0,0,0,0,144,45,25,5,24,45,0.25,4.69,2.0,3,3.0,0,211.0,11,27,2.0,2.0,3.0
44299,cuevawi01,2016,1,BOS,AL,0,1,3,0,0,0,0,15,5,2,0,6,3,0.294,3.6,0.0,0,0.0,0,24.0,2,2,1.0,0.0,0.0
44307,daytogr01,2016,1,LAN,NL,0,1,25,0,0,0,0,79,14,6,4,6,39,0.149,2.05,0.0,0,1.0,0,101.0,0,7,0.0,0.0,0.0
44314,deleojo03,2016,1,LAN,NL,2,0,4,4,0,0,0,51,19,12,5,7,15,0.288,6.35,1.0,0,3.0,0,80.0,0,17,3.0,1.0,0.0
44323,devench02,2016,1,HOU,AL,4,4,48,5,0,0,1,325,79,26,4,20,104,0.206,2.16,0.0,2,3.0,0,408.0,16,26,1.0,1.0,10.0
44348,eliasro01,2016,1,BOS,AL,0,1,3,1,0,0,0,23,15,11,2,5,3,0.417,12.91,1.0,0,0.0,0,41.0,2,11,0.0,0.0,1.0
44350,eovalna01,2016,1,NYA,AL,9,8,24,21,0,0,0,374,123,66,23,40,97,0.255,4.76,2.0,5,1.0,0,525.0,2,66,1.0,1.0,8.0
