,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
5326,gregelu01,2017,ALCS,HOU,AL,0,0,1,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0.0,0.0,0.0
5327,gregelu01,2017,ALDS2,HOU,AL,0,0,2,0,0,0,0,6,1,0,0,0,3,0.143,0.0,0.0,0.0,0.0,0.0,7.0,1,0,0.0,0.0,0.0
5328,gregelu01,2017,WS,HOU,AL,0,0,2,0,0,0,0,3,1,0,0,1,2,0.25,0.0,0.0,1.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0
5331,harriwi02,2017,ALCS,HOU,AL,0,0,2,0,0,0,0,4,2,1,1,1,1,0.333,6.75,0.0,1.0,0.0,0.0,7.0,0,1,0.0,0.0,0.0
5332,harriwi02,2017,ALDS2,HOU,AL,0,0,1,0,0,0,0,2,2,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
5333,harriwi02,2017,WS,HOU,AL,0,0,3,0,0,0,0,6,2,0,0,0,2,0.222,0.0,0.0,1.0,0.0,0.0,9.0,0,0,0.0,0.0,0.0
5338,hillri01,2017,NLCS,LAN,NL,0,0,1,1,0,0,0,15,3,1,1,1,8,0.167,1.8,0.0,1.0,0.0,0.0,19.0,0,1,0.0,0.0,0.0
5339,hillri01,2017,NLDS1,LAN,NL,0,0,1,1,0,0,0,12,3,2,1,3,4,0.214,4.5,0.0,0.0,0.0,0.0,18.0,0,2,1.0,0.0,0.0
5340,hillri01,2017,WS,LAN,NL,0,0,2,2,0,0,0,26,7,2,1,4,12,0.219,2.08,2.0,0.0,0.0,0.0,37.0,0,2,1.0,0.0,0.0
5342,janseke01,2017,NLCS,LAN,NL,1,0,4,0,0,0,1,13,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,0.0,14.0,4,0,0.0,0.0,0.0
5343,janseke01,2017,NLDS1,LAN,NL,0,0,3,0,0,0,2,11,2,0,0,1,4,0.154,0.0,0.0,0.0,0.0,0.0,14.0,3,1,0.0,0.0,0.0
5344,janseke01,2017,WS,LAN,NL,0,1,6,0,0,0,2,26,6,3,2,2,8,0.188,3.12,0.0,0.0,1.0,0.0,35.0,4,3,0.0,0.0,0.0
5345,kahnlto01,2017,ALCS,NYA,AL,0,0,4,0,0,0,0,19,6,3,1,2,4,0.273,4.26,0.0,0.0,0.0,0.0,24.0,2,3,0.0,0.0,3.0
5346,kahnlto01,2017,ALDS1,NYA,AL,0,0,2,0,0,0,1,8,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,0,0.0,0.0,0.0
5347,kahnlto01,2017,ALWC,NYA,AL,0,0,1,0,0,0,0,7,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
5348,kellyjo05,2017,ALDS2,BOS,AL,1,0,2,0,0,0,0,8,4,0,0,0,1,0.364,0.0,0.0,1.0,0.0,0.0,11.0,0,0,0.0,0.0,1.0
5349,kershcl01,2017,NLCS,LAN,NL,1,0,2,2,0,0,0,33,7,3,2,2,9,0.179,2.45,0.0,0.0,0.0,0.0,42.0,0,3,1.0,0.0,0.0
5350,kershcl01,2017,NLDS1,LAN,NL,1,0,1,1,0,0,0,19,5,4,4,3,7,0.217,5.68,0.0,0.0,0.0,0.0,26.0,0,4,0.0,0.0,2.0
5351,kershcl01,2017,WS,LAN,NL,1,0,3,2,0,0,0,47,9,7,2,5,17,0.164,4.02,2.0,1.0,0.0,0.0,60.0,0,7,0.0,0.0,1.0
5352,keuchda01,2017,ALCS,HOU,AL,1,1,2,2,0,0,0,35,11,4,0,2,18,0.239,3.09,0.0,0.0,0.0,0.0,48.0,0,4,0.0,0.0,0.0
5353,keuchda01,2017,ALDS2,HOU,AL,1,0,1,1,0,0,0,17,3,1,0,3,7,0.15,1.59,0.0,0.0,0.0,0.0,23.0,0,1,0.0,0.0,0.0
5354,keuchda01,2017,WS,HOU,AL,0,1,2,2,0,0,0,31,11,6,2,3,7,0.289,5.23,0.0,0.0,0.0,0.0,42.0,0,7,1.0,0.0,2.0
5355,kimbrcr01,2017,ALDS2,BOS,AL,0,0,2,0,0,0,0,6,4,1,0,1,2,0.4,4.5,0.0,1.0,1.0,0.0,12.0,1,1,0.0,0.0,0.0
5361,liriafr01,2017,ALCS,HOU,AL,0,0,1,0,0,0,0,3,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
5362,liriafr01,2017,ALDS2,HOU,AL,0,1,2,0,0,0,0,2,2,1,1,0,0,0.5,13.5,0.0,0.0,0.0,0.0,4.0,0,1,0.0,0.0,0.0
5363,liriafr01,2017,WS,HOU,AL,0,0,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0.0,0.0,0.0
5364,maddoau01,2017,ALDS2,BOS,AL,0,0,2,0,0,0,0,6,3,1,1,2,2,0.375,4.5,0.0,0.0,0.0,0.0,10.0,0,1,0.0,0.0,0.0
5366,maedake01,2017,NLCS,LAN,NL,1,0,3,0,0,0,0,9,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0.0,0.0,0.0
5367,maedake01,2017,NLDS1,LAN,NL,1,0,2,0,0,0,0,6,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
5368,maedake01,2017,WS,LAN,NL,0,0,4,0,0,0,0,17,5,1,1,2,3,0.227,1.59,0.0,0.0,0.0,0.0,24.0,0,1,0.0,0.0,0.0
5369,mccarbr01,2017,WS,LAN,NL,0,1,1,0,0,0,0,3,2,2,1,0,0,0.4,18.0,0.0,0.0,0.0,0.0,5.0,1,2,0.0,0.0,0.0
5370,mcculla02,2017,ALCS,HOU,AL,0,0,2,1,0,0,1,30,3,1,1,3,9,0.097,0.9,0.0,0.0,0.0,0.0,34.0,1,1,0.0,0.0,1.0
5371,mcculla02,2017,ALDS2,HOU,AL,0,0,1,0,0,0,0,9,3,2,0,2,4,0.273,6.0,0.0,0.0,0.0,0.0,13.0,0,2,0.0,0.0,1.0
5372,mcculla02,2017,WS,HOU,AL,1,0,2,2,0,0,0,23,7,3,0,4,6,0.259,3.52,0.0,0.0,4.0,0.0,35.0,0,3,0.0,0.0,1.0
5374,mchugco01,2017,ALCS,HOU,AL,0,0,1,0,0,0,0,12,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,0,0.0,0.0,0.0
5375,mchugco01,2017,WS,HOU,AL,0,0,1,0,0,0,0,6,1,3,1,3,4,0.143,13.5,0.0,0.0,0.0,0.0,10.0,0,3,0.0,0.0,0.0
5379,morrobr01,2017,NLCS,LAN,NL,0,0,4,0,0,0,0,14,1,0,0,1,7,0.067,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0.0,0.0,0.0
5380,morrobr01,2017,NLDS1,LAN,NL,0,0,3,0,0,0,0,11,2,1,1,0,1,0.167,2.45,0.0,0.0,0.0,0.0,12.0,0,1,0.0,0.0,1.0
5381,morrobr01,2017,WS,LAN,NL,0,0,7,0,0,0,0,16,8,5,2,1,4,0.333,8.44,0.0,1.0,0.0,0.0,25.0,0,5,0.0,0.0,1.0
5382,mortoch02,2017,ALCS,HOU,AL,1,1,2,2,0,0,0,26,8,7,1,3,8,0.242,7.27,0.0,1.0,1.0,0.0,37.0,0,7,0.0,0.0,0.0
5383,mortoch02,2017,ALDS2,HOU,AL,0,0,1,1,0,0,0,13,7,2,1,2,6,0.389,4.15,0.0,0.0,0.0,0.0,20.0,0,2,0.0,0.0,0.0
5384,mortoch02,2017,WS,HOU,AL,1,0,2,1,0,0,0,31,5,2,0,1,11,0.143,1.74,0.0,0.0,1.0,0.0,37.0,1,2,0.0,0.0,0.0
